WKT,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,LIN_SENT_N,LIN_SENT_S,METROBUS,NOM_SENTID,Observac,INAUGURA,FECH_INAU
"POINT (-58.4430835454399 -34.6689700922229)","76",Lacarra,ROCA CNEL AV,,Entre Mariano Acosta y Lacarra,91 - 115,91 - 115,Metrobus Sur - Ramal Coronel Roca,Lacarra,,Agosto 2013,2013-08
"POINT (-58.416372101963 -34.6520163196804)","83",Av Sáenz -Centro de Transbordo,SAENZ AV,,Entre Av Perito Moreno y Av Rabanal,9 - 15 - 28 - 31 - 32 - 75 - 85 - 91 - 112 - 115 - 128 - 160 - 165 - 188,9 - 15 - 28 - 31 - 32 - 46 - 75 - 85 - 91 - 112 - 115 - 128 - 160 - 165 - 188,Metrobus Sur - Ramal Coronel Roca,Av Sáenz - Centro de Transbordo,Av Sáenz -Centro de Transbordo (Pompeya),Marzo 2015,2015-03
"POINT (-58.4066022427091 -34.6338889578004)","89",La Rioja,BRASIL AV,,Entre La Rioja y Gral Urquiza,6 - 97 -143,,Metrobus Sur - Ramal Coronel Roca,La Rioja - Sentido Constitución,,Agosto 2013,2013-08
"POINT (-58.4009974665398 -34.6317747254111)","90",Jujuy,BRASIL AV,,Entre Jujuy y Catamarca,6 - 97 -143,,Metrobus Sur - Ramal Coronel Roca,Jujuy - Sentido Constitución,,Agosto 2013,2013-08
"POINT (-58.3955662389144 -34.6302516973252)","91",Garrahan,BRASIL AV,,Entre Pichincha y Combate de los Pozos,6 - 97 -143,,Metrobus Sur - Ramal Coronel Roca,Garrahan - Sentido Constitución,,Agosto 2013,2013-08
"POINT (-58.3921088257108 -34.6295982912763)","92",Entre Ríos,BRASIL AV,,Entre Pichincha y Combate de los Pozos,6 - 97 -143,,Metrobus Sur - Ramal Coronel Roca,Entre Ríos - Sentido Constitución,,Agosto 2013,2013-08
"POINT (-58.4602820846902 -34.6890750870822)","93",Soldado de la Frontera,ROCA CNEL AV,,Entre Soldado de la Frontera y Racedo,47 - 91 - 114 - 115 - 117 - 141 - 150,91 - 115,Metrobus Sur - Ramal Coronel Roca,Soldado de la Frontera,,Agosto 2013,2013-08
"POINT (-58.4611389739931 -34.5569010629068)","102",Roosevelt,CABILDO AV,,Entre Roosvelt y Manuel Ugarte,41 - 57 - 60 - 194,,Metrobus Norte - Av Cabildo,Roosevelt - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4619927130167 -34.5559885872479)","103",Ugarte,CABILDO AV,,Entre Manuel Ugarte y Av Congreso,59 - 68 - 133 - 152 - 161,,Metrobus Norte - Av Cabildo,Ugarte - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
"POINT (-58.4629802582661 -34.5549692033806)","104",Congreso,CABILDO AV,,Entre Av Congreso y Quesada,29 - 60 - 168 - 184,,Metrobus Norte - Av Cabildo,Congreso - Sentido Provincia/Gral Paz,,Junio 2015,2015-06
